model,noise_std,roc_auc,degradation
LightGBM,0.1,0.8876254230205732,0.039009130442644285
CatBoost,0.1,0.9207417433606404,0.0
TabPFN,0.1,0.9083658766843441,3.1802483859396944e-05
LightGBM,0.3,0.887404949340707,0.03924782706830891
CatBoost,0.3,0.9204233816883681,0.00034576652418330213
TabPFN,0.3,0.9079505942923176,0.0004889631893349282
LightGBM,0.5,0.8830257191349746,0.043989016464481785
CatBoost,0.5,0.9194793880646291,0.0013710199468134885
TabPFN,0.5,0.9077963465467076,0.0006587657370831782
